PassengerId,Survived_Prob,Survived
709,0.82,1
439,0.09,0
840,0.19,0
720,0.87,1
39,0.51,1
290,0.91,1
300,0.72,1
333,0.04,0
208,0.83,1
136,0.94,1
137,0.18,0
696,0.02,0
485,0.1,0
244,0.09,0
344,0.11,0
853,0.95,1
621,0.41,1
653,0.6,1
886,0.23,0
110,0.05,0
294,0.0,0
447,0.4,1
192,0.27,1
682,0.08,0
538,0.03,0
819,0.09,0
30,0.37,0
673,0.14,1
63,0.13,0
396,0.31,0
877,0.0,0
141,0.45,1
793,0.06,0
235,0.43,0
204,0.23,1
620,0.47,0
23,0.22,1
198,0.68,1
842,0.94,1
739,0.0,0
120,0.05,0
477,0.23,0
837,0.0,0
790,0.2,0
362,0.83,0
86,0.03,0
67,0.26,0
350,0.06,0
210,0.3,0
659,0.37,0
448,0.79,1
820,0.96,1
360,0.02,0
802,0.64,1
280,0.04,0
585,0.93,1
70,0.07,0
299,0.96,1
211,0.95,1
44,0.46,1
408,0.19,0
446,0.89,1
426,0.99,1
168,0.14,0
196,0.02,0
772,0.92,0
72,0.15,0
422,0.05,0
532,0.42,0
591,0.97,1
312,0.99,0
311,0.9,1
889,0.44,1
835,1.0,1
833,0.04,0
605,0.0,0
767,0.74,0
539,0.97,1
357,0.99,0
254,0.54,0
266,0.02,0
66,0.96,1
319,0.98,1
778,0.05,0
174,0.58,0
493,0.11,0
215,0.97,1
309,0.99,1
822,0.49,0
250,0.43,0
165,0.65,1
541,0.25,0
625,0.14,0
388,0.01,0
76,0.0,0
281,0.01,0
712,0.28,1
338,0.04,1
327,0.99,1
321,0.04,0
545,0.19,0
590,0.51,0
291,0.98,1
465,0.22,0
814,0.0,0
442,0.45,0
670,0.97,1
462,0.6,0
286,0.01,1
209,0.36,1
669,0.85,1
227,0.09,0
849,0.97,1
512,0.86,1
527,0.31,0
876,0.05,0
96,0.32,0
292,0.58,0
323,1.0,1
736,0.23,0
529,0.05,0
218,0.98,1
275,0.95,1
78,0.89,1
785,0.09,0
604,0.33,1
796,0.89,1
139,0.42,0
578,0.84,0
494,0.24,0
359,0.57,1
65,0.72,1
481,0.1,0
777,0.39,1
599,0.62,1
830,0.83,1
306,0.94,1
231,0.23,0
845,0.18,0
49,0.68,0
652,0.06,0
854,0.98,0
342,0.01,0
594,0.06,0
885,0.43,0
416,0.98,1
213,0.05,0
33,0.06,0
31,0.97,1
668,0.08,0
584,0.2,0
514,0.06,0
688,0.16,0
109,0.71,1
77,0.03,0
611,0.28,0
643,0.39,1
82,0.6,1
518,0.97,1
657,0.93,0
296,0.27,0
507,0.44,1
808,0.5,0
375,0.91,1
5,0.04,0
54,0.56,0
398,0.24,0
457,0.98,1
521,0.02,0
363,0.54,0
97,0.65,1
417,0.93,1
572,0.91,1
852,0.27,0
433,0.09,0
773,0.09016666666666667,0
25,0.24,1
84,0.92,1
10,0.51,1
331,0.18,0
733,0.0,0
382,0.86,0
704,0.17,0
813,0.31,0
118,0.56,0
536,0.57,0
361,0.23,0
29,0.0,0
55,0.39,1
865,0.98,1
595,0.04,0
239,0.26,0
721,0.19,0
81,0.0,1
259,0.98,1
486,0.81,1
716,1.0,1
800,0.37,0
781,0.96,1
542,0.24,0
326,0.01,0
534,0.25,0
535,0.86,1
483,0.44,1
762,0.19,1
533,0.91,1
713,0.0,0
390,0.51,1
495,0.19,0
482,0.05,0
377,0.5,0
365,0.15,0
412,0.88,1
468,0.01,0
409,0.17,0
7,0.37,0
580,0.93,1
155,0.26,0
880,0.98,1
425,0.13,0
101,0.03,0
199,0.92,0
424,0.05,0
298,0.43,1
884,0.16,0
247,0.96,1
478,0.11,0
305,0.55,1
316,0.99,1
2,0.75,1
405,0.04,0
742,0.91,1
260,0.03,0
367,0.86,1
158,0.0,0
554,0.32,1
829,0.96,1
677,0.18,1
380,0.97,1
626,0.25,0
302,0.08,0
432,0.93,1
522,0.01,0
404,0.22,0
843,0.16,0
355,0.0,0
464,0.02,0
753,0.0,0
212,0.08,0
449,0.34,1
79,0.28,1
148,0.33,0
428,0.026666666666666665,0
60,0.24,0
660,0.3,1
804,0.2,1
588,0.32,0
765,0.99,1
265,0.09,0
133,0.98,1
708,0.88,1
544,0.28,0
346,0.85,1
821,0.04,1
633,0.16,0
456,0.77,0
